lat,long,alt,time
0,0,0,0
0.0049999999873762135,-0.00400000004674439,9.690000000000055,1
0.0049999999873762135,-0.003000000106112566,19.510000000000105,2
-0.0630000000256814,0.03899999967416079,29.45000000000016,3
-0.2229999999769916,0.14299999946842945,39.44000000000017,4
-0.5009999999572301,0.32799999928556645,49.47000000000014,5
-0.95699999995702,0.6479999990460783,59.54000000000019,6
-1.5789999999782367,1.0989999989874377,69.6500000000002,7
-2.3929999999694473,1.6899999988595482,79.79000000000019,8
-3.419999999962897,2.4359999986245384,89.98000000000025,9
-4.682999999943149,3.3489999984226415,100.21000000000026,10
-6.202999999942449,4.440999998394091,110.49000000000024,11
-7.995999999934611,5.724999998335534,120.83000000000027,12
-10.078999999905136,7.211999998162355,131.23000000000025,13
-12.547999999910076,8.969999998100775,141.71000000000026,14
-15.343999999899438,10.956999998086303,152.25000000000023,15
-18.48099999989472,13.183999998034324,162.86000000000024,16
-21.971999999905734,15.661999997860221,173.5500000000003,17
-25.925999999927285,18.464999997718223,184.34000000000026,18
-30.26499999990051,21.540999997569088,195.21000000000026,19
-35.001999999906275,24.9009999973282,206.1600000000003,20
-40.15299999991839,28.554999997254527,217.19000000000028,21
-45.74699999992049,32.51999999719146,228.32000000000028,22
-51.79399999988732,36.802999997007646,239.5500000000003,23
-58.41999999987024,41.49599999692555,250.90000000000032,24
-65.52199999987351,46.52499999679094,262.3400000000004,25
-73.11099999988357,51.89899999663794,273.88000000000034,26
-81.19599999986349,57.62599999656004,285.5200000000003,27
-89.78799999987075,63.71499999630714,297.26000000000033,28
-98.89599999986842,70.17199999609147,309.10000000000036,29
-108.66199999988169,77.09599999600414,321.0800000000004,30
-118.96699999986993,84.39999999581005,333.1600000000004,31
-129.82199999989064,92.09199999560269,345.3500000000005,32
-141.2339999998835,100.17899999553492,357.65000000000043,33
-153.21099999987098,108.66699999553475,370.0600000000004,34
-165.90799999988803,117.66199999527771,382.61000000000035,35
-179.1899999998492,127.07099999516913,395.2800000000003,36
-193.06499999984794,136.9019999950183,408.0600000000003,37
-207.54299999985903,147.16299999491866,420.96000000000026,38
-222.63199999983385,157.8609999947389,433.98000000000025,39
-238.4969999998532,169.11099999447288,447.1500000000002,40
-254.9929999998568,180.80699999444505,460.44000000000017,41
-272.12699999985546,192.95599999423985,473.8600000000001,42
-289.9079999998122,205.56299999412886,487.4000000000001,43
-308.34199999979717,218.63499999398073,501.06000000000006,44
-327.4379999997734,232.17499999390157,514.85,45
-347.3709999997254,246.30899999380063,528.8000000000001,46
-367.9809999997019,260.92299999362467,542.8800000000001,47
-389.2739999997019,276.0189999935392,557.0900000000001,48
-411.2549999997128,291.6009999933067,571.4300000000002,49
-433.928999999722,307.6739999931988,585.9000000000002,50
-457.29999999970516,324.2389999931561,600.5100000000002,51
-481.54299999971784,341.42399999296913,615.2800000000002,52
-506.4829999997045,359.101999992788,630.1700000000002,53
-532.1209999996768,377.2739999925534,645.1900000000002,54
-558.4569999996347,395.9409999924901,660.3300000000002,55
-585.4939999996134,415.1029999923139,675.6000000000001,56
-613.2329999996244,434.7609999922497,690.9900000000001,57
-641.846999999629,455.0379999921006,706.5400000000001,58
-671.1599999996309,475.8129999919447,722.2200000000001,59
-701.1709999996185,497.0849999918414,738.0200000000001,60
-732.0599999996347,518.9749999917126,753.9800000000001,61
-763.6529999996355,541.3609999916957,770.0600000000002,62
-795.9479999995978,564.2429999915066,786.2700000000002,63
-828.9449999995924,587.6219999913701,802.6000000000003,64
-862.6439999995483,611.4989999912268,819.0600000000003,65
-897.043999999525,635.8719999911955,835.6400000000003,66
-932.3189999994952,660.8649999910199,852.3800000000003,67
-968.2969999995095,686.3539999909563,869.2400000000004,68
-1004.9779999994968,712.3369999908391,886.2300000000004,69
-1042.358999999493,738.8139999906684,903.3400000000004,70
-1080.44099999951,765.7919999905971,920.5700000000004,71
-1119.2279999995235,793.2689999904596,937.9300000000004,72
-1158.894999999518,821.3659999901779,955.4400000000004,73
-1199.2639999994735,849.9609999901736,973.0700000000004,74
-1240.3359999994732,879.0529999899377,990.8300000000004,75
-1282.1099999994344,908.6409999898137,1008.7100000000004,76
-1324.588999999392,938.7279999896236,1026.7200000000003,77
-1367.769999999382,969.3169999894735,1044.8600000000001,78
-1411.8269999993772,1000.526999989404,1063.15,79
-1456.584999999393,1032.239999989315,1081.5700000000002,80
-1502.0459999993818,1064.4539999890412,1100.1200000000001,81
-1548.2099999993438,1097.167999988926,1118.8000000000002,82
-1595.2539999993578,1130.5059999887135,1137.63,83
-1643.0049999993203,1164.3449999886002,1156.5900000000001,84
-1691.4639999993142,1198.6819999884801,1175.6800000000003,85
-1740.6309999992686,1233.5159999884127,1194.9000000000003,86
-1790.5029999992194,1268.8469999883978,1214.2500000000005,87
-1841.0779999992142,1304.6739999882107,1233.7200000000005,88
-1892.3579999992055,1340.9969999881355,1253.3200000000006,89
-1944.3429999991931,1377.816999988113,1273.0400000000006,90
-1997.20699999915,1415.256999987946,1292.9200000000005,91
-2050.773999999151,1453.1929999878912,1312.9200000000005,92
-2105.041999999102,1491.625999987889,1333.0500000000006,93
-2160.0119999990848,1530.5549999877144,1353.3000000000006,94
-2215.860999999037,1570.1049999876204,1373.7100000000005,95
-2272.4139999990452,1610.1539999874603,1394.2500000000005,96
-2329.666999999062,1650.701999987234,1414.9100000000003,97
-2387.6229999990524,1691.7499999871666,1435.7000000000003,98
-2446.280999999004,1733.296999987033,1456.6200000000003,99
-2505.640999998988,1775.3399999870112,1477.6600000000003,100
