lat,long,alt,time
-35.3632596,149.165229,9.720000000000027,1
-35.3632598,149.1652294,9.759999999999991,3
-35.36326,149.1652298,9.789999999999964,5
-35.36326,149.1652298,9.789999999999964,7
-35.3632602,149.16523,9.819999999999936,9
-35.3632602,149.16523,9.819999999999936,11
-35.3632602,149.16523,9.819999999999936,13
-35.3632603,149.1652303,9.850000000000023,15
-35.3632603,149.1652303,9.850000000000023,17
-35.3632604,149.1652305,9.870000000000005,19
-35.3632604,149.1652305,9.870000000000005,21
-35.3632604,149.1652305,9.870000000000005,23
-35.3632604,149.1652306,9.889999999999986,25
-35.3632604,149.1652306,9.889999999999986,27
-35.3632603,149.1652306,9.909999999999968,29
-35.3632603,149.1652306,9.909999999999968,31
-35.3632603,149.1652306,9.92999999999995,33
-35.3632603,149.1652306,9.92999999999995,35
-35.3632603,149.1652306,9.92999999999995,37
-35.3632603,149.1652306,9.950000000000045,39
-35.3632603,149.1652306,9.950000000000045,41
-35.3632602,149.1652304,9.960000000000036,43
-35.3632602,149.1652304,9.960000000000036,45
-35.3632602,149.1652304,9.960000000000036,47
-35.3632602,149.1652302,9.970000000000027,49
-35.3632602,149.1652302,9.970000000000027,51
-35.36326,149.16523,9.980000000000018,53
-35.36326,149.16523,9.980000000000018,55
-35.3632598,149.1652299,9.980000000000018,57
-35.3632598,149.1652299,9.980000000000018,59
-35.3632598,149.1652299,9.980000000000018,61
-35.3632594,149.1652296,9.990000000000009,63
-35.3632589,149.1652293,9.990000000000009,65
-35.3632589,149.1652293,9.990000000000009,67
-35.3632589,149.1652293,9.990000000000009,69
-35.3632583,149.1652289,10.0,71
-35.3632583,149.1652289,10.0,73
-35.3632576,149.1652284,10.0,75
-35.3632576,149.1652284,10.0,77
-35.3632567,149.1652277,10.009999999999991,79
-35.3632567,149.1652277,10.009999999999991,81
-35.3632567,149.1652277,10.009999999999991,83
-35.3632558,149.1652271,10.009999999999991,85
-35.3632558,149.1652271,10.009999999999991,87
-35.3632549,149.1652263,10.009999999999991,89
-35.3632549,149.1652263,10.009999999999991,91
-35.3632549,149.1652263,10.009999999999991,93
-35.3632538,149.1652253,10.009999999999991,95
-35.3632538,149.1652253,10.009999999999991,97
-35.3632528,149.1652241,10.019999999999982,99
-35.3632528,149.1652241,10.019999999999982,101
-35.3632517,149.1652228,10.019999999999982,103
-35.3632517,149.1652228,10.019999999999982,105
-35.3632517,149.1652228,10.019999999999982,107
-35.3632506,149.1652213,10.019999999999982,109
-35.3632506,149.1652213,10.019999999999982,111
-35.3632492,149.1652198,10.019999999999982,113
-35.3632492,149.1652198,10.019999999999982,115
-35.3632492,149.1652198,10.019999999999982,117
-35.3632478,149.1652183,10.029999999999973,119
-35.3632478,149.1652183,10.029999999999973,121
-35.3632462,149.1652168,10.029999999999973,123
-35.3632462,149.1652168,10.029999999999973,125
-35.3632445,149.1652152,10.029999999999973,127
-35.3632445,149.1652152,10.029999999999973,129
-35.3632445,149.1652152,10.029999999999973,131
-35.3632427,149.1652135,10.029999999999973,133
-35.3632427,149.1652135,10.029999999999973,135
-35.3632409,149.1652117,10.039999999999964,137
-35.3632409,149.1652117,10.039999999999964,139
-35.3632409,149.1652117,10.039999999999964,141
-35.3632392,149.1652096,10.039999999999964,143
-35.3632376,149.1652073,10.039999999999964,145
-35.3632376,149.1652073,10.039999999999964,147
-35.3632361,149.1652047,10.039999999999964,149
-35.3632361,149.1652047,10.039999999999964,151
-35.3632361,149.1652047,10.039999999999964,153
-35.3632346,149.165202,10.039999999999964,155
-35.3632346,149.165202,10.039999999999964,157
-35.3632329,149.1651992,10.049999999999955,159
-35.3632329,149.1651992,10.049999999999955,161
-35.3632329,149.1651992,10.049999999999955,163
-35.363231,149.1651965,10.049999999999955,165
-35.363231,149.1651965,10.049999999999955,167
-35.363229,149.1651937,10.049999999999955,169
-35.363229,149.1651937,10.049999999999955,171
-35.3632268,149.165191,10.049999999999955,173
-35.3632268,149.165191,10.049999999999955,175
-35.3632268,149.165191,10.049999999999955,177
-35.3632246,149.1651882,10.059999999999945,179
-35.3632246,149.1651882,10.059999999999945,181
-35.3632224,149.1651854,10.059999999999945,183
-35.3632224,149.1651854,10.059999999999945,185
-35.3632224,149.1651854,10.059999999999945,187
-35.3632203,149.1651825,10.059999999999945,189
-35.3632203,149.1651825,10.059999999999945,191
-35.3632183,149.1651793,10.069999999999936,193
-35.3632183,149.1651793,10.069999999999936,195
-35.3632165,149.1651761,10.069999999999936,197
-35.3632165,149.1651761,10.069999999999936,199
-35.3632165,149.1651761,10.069999999999936,201
-35.3632146,149.165173,10.069999999999936,203
-35.3632146,149.165173,10.069999999999936,205
-35.3632127,149.1651702,10.080000000000041,207
-35.3632127,149.1651702,10.080000000000041,209
-35.3632109,149.1651678,10.080000000000041,211
-35.3632109,149.1651678,10.080000000000041,213
-35.363209,149.1651659,10.080000000000041,215
-35.363209,149.1651659,10.080000000000041,217
-35.3632071,149.1651644,10.080000000000041,219
-35.3632071,149.1651644,10.080000000000041,221
-35.3632071,149.1651644,10.080000000000041,223
-35.3632051,149.1651631,10.080000000000041,225
-35.3632051,149.1651631,10.080000000000041,227
-35.3632033,149.1651616,10.090000000000032,229
-35.3632033,149.1651616,10.090000000000032,231
-35.3632033,149.1651616,10.090000000000032,233
-35.3632016,149.1651598,10.090000000000032,235
-35.3632016,149.1651598,10.090000000000032,237
-35.3632,149.1651575,10.090000000000032,239
-35.3632,149.1651575,10.090000000000032,241
-35.3631984,149.1651551,10.090000000000032,243
-35.3631984,149.1651551,10.090000000000032,245
